"","IT.cases","IT.residential","IT.workplaces","IT.transit","IT.grocery"
"IT.cases_lag1",-0.123320911290856,-4.64841356945414e-06,-4.66443935165926e-06,-3.11141756164581e-05,-4.75996690550648e-05
"IT.residential_lag1",7.24781216880872,-0.329133253964143,-0.00169557781447429,0.00437144693056019,-0.00923619344961927
"IT.workplaces_lag1",-0.0781698249779508,0.00246601742518209,-0.809090021249663,0.00275717291077953,0.00726819531042022
"IT.transit_lag1",0.622130109028845,-0.110081185993623,0.453625209370409,-0.0047022711880727,0.266289060154697
"IT.grocery_lag1",0.141796946177231,0.000815018306237057,0.0932129247197684,-0.100535289126692,-0.591037434171211
"cases*",0.00473513753926907,0.000180293379504547,-6.89103963793519e-05,-2.66379184862845e-05,1.88225190338396e-05
"residential*",0.102066397032115,0.568196164707785,0.813692671217158,1.45438780883792,2.82105838951533
"workplaces*",-0.0476243913294604,-0.0787794536291356,0.701159274545635,0.617326635568616,0.242202380059199
"transit*",0.767628183285053,0.000954754790188944,-0.018932875192817,0.621462597580502,0.869504676843745
"grocery*",-0.113442189955838,0.0863371374414619,0.00583767982877575,-0.151810880074593,0.231179058570754
"cases*_lag1",0.0891813661532032,7.92557720788539e-06,-1.7496593403816e-05,4.98456872376366e-05,1.20134936213965e-05
"residential*_lag1",49.8380821341367,0.250679737925284,0.0215702702209485,0.429921610244636,1.90354766176917
"workplaces*_lag1",13.074485389921,0.00262084946539488,0.67221010296448,-0.0059131092616757,-0.0193289050713044
"transit*_lag1",2.59895141722055,-0.00154306304475901,0.0197738477197364,0.440612925279565,0.0716117372086946
"grocery*_lag1",0.0443835113857791,0.0436808970654709,-0.235194111984766,-0.0014449881077513,0.455607364589486
"cons",0.908495824966281,0.00371669946801212,9.8556412204678e-05,0.00831723259104514,0.0645246551342146
