"","US.cases","US.residential","US.workplaces","US.transit","US.grocery"
"US.cases_lag1",-0.0708450126375582,-3.30959171914827e-07,1.07424296347406e-06,4.40094169434034e-06,-2.49111005962021e-06
"US.residential_lag1",10.6823935721561,-0.395664578349085,0.00752427214232676,0.00343771771574335,-0.00150118305445997
"US.workplaces_lag1",3.06453000207253,0.0294715745581102,-0.622504332956859,-0.150341105136506,-0.0102874230546353
"US.transit_lag1",1.52788285444389,-0.00235811592381858,0.275396367425952,-0.000667879232789842,0.0319663785421781
"US.grocery_lag1",-2.57997721063546,0.000438779892018057,-0.232180856402859,-0.099079577052359,-0.491592641963562
"cases*",3.95704080250579,2.01365217330432e-05,-0.000203874347695437,3.48748186472779e-05,3.84746859448874e-05
"residential*",6.9453922863173,0.802439737660666,0.00465154296996696,0.294797407790253,-0.01127807865524
"workplaces*",2.12503067991875,-0.0705982198627084,0.846033637689603,0.214318356962576,0.0167116962655215
"transit*",-0.377291745642121,0.00531712460562704,0.00543209802335005,0.612463482943126,0.0135222109048815
"grocery*",0.498579535749207,0.0540560489858823,-0.00379894614465256,-0.0012740325645339,0.300645204283773
"cases*_lag1",3.3731423993613,-4.99522997624766e-06,1.08830782695968e-05,7.400781205919e-06,-2.5108758188808e-05
"residential*_lag1",-8.59974974115879,0.283875060420203,0.00819135412634761,0.232830161245749,0.0217909592586372
"workplaces*_lag1",-5.09519491688897,-0.0515414033789632,0.352928672715999,0.152611736894594,-0.0124863700263576
"transit*_lag1",0.984436676165331,-0.00476145836418675,-0.0367507513195612,-0.003488141113267,0.00592154173325951
"grocery*_lag1",-0.531172230139238,0.0457132027313265,0.00222401424523429,0.00908707661238452,0.208473269822139
"cons",-11.1759721075125,0.00108179341436971,-0.00113927831516219,0.00303416456546056,0.00504477542382545
