"","ZA.cases","ZA.residential","ZA.workplaces","ZA.transit","ZA.grocery"
"ZA.cases_lag1",-0.21996762847326,-6.43538829365217e-06,-7.26640508887498e-06,5.39701323666856e-06,3.5510386703806e-05
"ZA.residential_lag1",0.0124258829662999,-0.263286425263395,0.0320604130567038,0.00361704027585596,0.0370986329750369
"ZA.workplaces_lag1",-0.0157293820704142,0.0785435692381331,-0.340989683926936,0.0879498795795273,-0.0140017066512753
"ZA.transit_lag1",0.000729343643022751,-0.0359095373381151,0.0174138778359012,-0.471472844843213,-0.0938987893744034
"ZA.grocery_lag1",0.00310662488393484,0.0106079074225745,0.00207868846724332,0.00551016290643288,-0.000344165628021037
"cases*",0.00674041502509882,4.07056531357053e-05,-0.00144217610133723,-3.67699425841128e-05,0.000160925695004659
"residential*",0.215267222420706,1.3916389144435,-1.86422639143593,0.00485602031689067,0.0308772957171191
"workplaces*",0.0442463175875464,4.81747145793243e-06,0.841001987706179,-0.00402096444147206,-0.00344323229299592
"transit*",0.00692373644364695,0.234248003217701,-0.959694195894596,0.395658453825973,0.125024809804259
"grocery*",0.00844128485816114,-0.000123029084761601,-0.0105571156840692,-0.00572258845787511,0.00873196261691756
"cases*_lag1",0.000832591898490931,-3.1370900082802e-05,1.0377680558192e-05,9.24275878570774e-05,0.00203319898945287
"residential*_lag1",0.033347717592282,0.701400455378326,-1.70401988257325,-0.0218382873076391,0.0535091919957513
"workplaces*_lag1",-0.0221753417002831,0.00811890535129623,0.00264629409893587,-0.347027733838672,-0.0159896627111698
"transit*_lag1",0.037173885072851,0.0153291494919814,0.0624169942689527,-0.00693926025204346,-0.0342172447056024
"grocery*_lag1",-0.0270659582923247,-0.00287048302738286,-0.00563571576856554,0.175281932529365,0.00354528194372532
"cons",-0.00392052720353945,-0.00594900485481019,0.00363978450804302,-0.0247663471435291,0.0462333360803298
